stamp,x,y,theta
1778594745.5256815,-2.2074536390313884,2.951534038279624,-2.6270867353652503
1778594747.5887983,-2.239808396508777,2.933301970930179,-2.6164203441379374
1778594749.5298252,-2.284737782361922,2.8998519115238066,-2.6204213007993924
1778594751.5926185,-2.331581130032335,2.8700293566347335,-2.6241728625643908
1778594753.5333662,-2.4052997513157814,2.8512094512784985,-2.632385418804692
1778594754.9455457,-2.4249570265903113,2.860436120932444,-2.4895518793360987
1778594755.597795,-2.440396736226702,2.862252782520052,-2.3238273918776504
1778594756.2357526,-2.4516891182643668,2.8651534996390247,-2.158294128235174
1778594756.886192,-2.458811285289568,2.866723899772707,-1.9843643314031236
1778594757.5378032,-2.458692463240548,2.8688867204575947,-1.8032506978456417
1778594758.1757562,-2.4537120156954093,2.867971227070376,-1.6201048917296879
1778594758.8276048,-2.4519796631912687,2.8642393554392247,-1.4438540664276331
1778594759.4660158,-2.4462791958235126,2.8579919562768428,-1.2738432302556972
1778594760.1162827,-2.4410858309181678,2.85294725297398,-1.1081651242908426
1778594760.7553155,-2.431466348787027,2.852145586150755,-0.9454082202665325
1778594761.405893,-2.419311687185629,2.8539081436770206,-0.7720688866503059
1778594762.0445232,-2.4056829912148494,2.856124046093745,-0.5954150878714236
1778594763.9727874,-2.3660122319965557,2.8453607449252396,-0.42881181684071734
1778594766.0484836,-2.3094066896979197,2.8256942539175505,-0.35762422311384645
1778594767.9768906,-2.2529771004910035,2.80426417422037,-0.35700060124459254
1778594769.9053063,-2.1999558250731774,2.778941532451535,-0.3559479191351919
1778594771.8458333,-2.151631239396188,2.7522986609533464,-0.3589372315141983
1778594773.7863054,-2.108443424037327,2.7237976463105515,-0.36422402002269505
1778594775.7145255,-2.0695210200809107,2.694001819504743,-0.3681608690252537
1778594777.6553998,-2.0275638060874837,2.6664053400814973,-0.37236823973711236
1778594779.7188659,-1.975487834322958,2.6386884511798336,-0.3742723026564898
1778594781.6605968,-1.9247340601306868,2.612152965571834,-0.37870604653849993
1778594783.464931,-1.8975998373146736,2.5901488243674278,-0.5539434462429307
1778594784.8897731,-1.8798652928925328,2.572895595516173,-0.7348373470238878
1778594786.1791813,-1.866937209427728,2.555725702571303,-0.906159964829153
1778594788.2422364,-1.834353962473762,2.5114909283848257,-0.9733415728909108
1778594790.1832662,-1.8064235593383653,2.4667307106032537,-0.9737197632148715
1778594792.1241555,-1.779327827303091,2.4233996446269574,-0.9687511975009487
1778594794.1872685,-1.7496577874674226,2.3754839087333086,-0.9654006222922298
1778594796.127695,-1.722137986262538,2.3300923633641473,-0.9599773931046984
1778594798.1914144,-1.692046026470496,2.2876822079894925,-0.9436642772499856
1778594800.1322927,-1.6639532246245796,2.241387504662649,-0.9362246588173945
1778594801.5572367,-1.6588171705575478,2.2209167968519865,-1.097623298606314
1778594803.4847298,-1.6495490502008114,2.156104534584914,-1.0797071710146189
1778594805.4254153,-1.6159077013299985,2.1175403499452194,-1.0868893177997585
1778594807.4893377,-1.577202642857588,2.069982632667283,-1.0946664046278796
1778594809.4297109,-1.54760586174992,2.0170734522454272,-1.093864731098011
1778594811.369679,-1.5129549827805764,1.961417694222157,-1.094230346442253
1778594813.433189,-1.4741761038099452,1.8951570071294959,-1.1111130568935823
1778594815.3737757,-1.4443921835152054,1.8374634479388168,-1.113809216869823
1778594817.4371576,-1.419559856385541,1.7733369676725128,-1.1159378757291623
1778594819.3657815,-1.4011548717644275,1.7055782678444387,-1.1168896501591876
1778594821.305912,-1.3775109557377192,1.650002550125931,-1.1168714248862108
1778594823.2342105,-1.3531124831423136,1.5956419276317366,-1.115214964652151
1778594825.297693,-1.32998974578764,1.5369554800412215,-1.1141305474809702
1778594827.2385027,-1.308880926804925,1.484875783826838,-1.1171515668757457
1778594829.301792,-1.2917772610125586,1.4324114568003516,-1.1269619510209283
1778594831.2422585,-1.2721693938880263,1.3836482680784654,-1.1349694496578098
1778594833.1705084,-1.2542220238826565,1.3352399564204729,-1.148348687989091
1778594835.111307,-1.2314059389423535,1.2897275905184635,-1.1470277139009097
1778594837.0525727,-1.215733565885516,1.252408816870037,-1.1407640861000063
1778594838.9802654,-1.2141791730412048,1.2565659670666982,-1.1374394544560924
1778594840.9208992,-1.2098437021052844,1.2589846149882695,-1.1319793813564911
1778594842.9861248,-1.1847510187925532,1.21433746257386,-1.1307270945504233
1778594844.9252,-1.1566448369112643,1.1687780815555944,-1.1259274195066638
1778594846.9884038,-1.1207398189397417,1.1224089231892396,-1.1208506447278193
1778594848.9286058,-1.0877626896914119,1.0732139595235697,-1.1258876362421746
1778594850.2187564,-1.067793901888877,1.0212011200298114,-1.2900145757643684
1778594851.5080276,-1.0528574337291923,0.9713630810497177,-1.4639543097859804
1778594852.7974012,-1.0466037274395565,0.9156182348806036,-1.6335866663330163
1778594854.0874872,-1.0511759921645096,0.8545812819408526,-1.8107142375403047
1778594855.3644664,-1.0676144952225772,0.798561003097642,-1.9886478911751315
1778594856.655115,-1.0948724378855148,0.7451614416280145,-2.1681523663716735
1778594857.9438639,-1.1300637094523642,0.695507424475089,-2.3479425773182263
1778594859.2332335,-1.1692492408072073,0.6553202952075945,-2.5314596872306967
1778594861.161576,-1.2316566142493428,0.6101247300901531,-2.7062665599294236
1778594863.1023,-1.2836870153296656,0.5805945887178481,-2.711561436981414
1778594865.0305653,-1.3357438364419518,0.55376106129131,-2.7127658828807197
1778594867.0823326,-1.3928002985008514,0.5261161402046046,-2.7144848286822114
1778594869.1460083,-1.4517368046954868,0.4994187454941754,-2.7161411232901513
1778594871.073633,-1.505885599910366,0.4761460357692498,-2.720307984386582
1778594873.1369915,-1.5525624735540644,0.45819952511351886,-2.7162551695697994
1778594875.0777385,-1.5927448896473686,0.444162926464411,-2.711074779411642
1778594877.140949,-1.6379042461092592,0.4263900071088744,-2.7023222028619833
1778594879.081766,-1.6864885621594197,0.4060474825098106,-2.6943774899584207
1778594881.1324573,-1.7408458064549568,0.3844113718070267,-2.687022369968761
1778594883.0732956,-1.7954346644322503,0.3607272533488733,-2.733863863448831
1778594884.3625944,-1.8485499298588994,0.3477800470314935,-2.913348435855648
1778594885.653305,-1.9117998578957864,0.3393065052248408,-3.0905254658815164
1778594887.3226864,-1.973247468014803,0.3377197688826118,3.012449010778917
1778594887.9736538,-1.985449108706096,0.33146527105847434,2.8400564079788206
1778594888.6137486,-1.9941976307520484,0.3260810316212757,2.6680211388693023
1778594889.2631538,-1.9892797649735294,0.3233393923868719,2.4924801450941003
1778594889.914667,-1.9900680184958315,0.31518300189306303,2.3231070731466605
1778594890.5535388,-1.9931665787638615,0.3123619280922199,2.158396406823305
1778594891.2040625,-1.9980414503970287,0.309749637020415,1.9882229741600699
1778594891.8437748,-1.998583216282291,0.30954061909146185,1.812661452017951
1778594892.493538,-2.0008667508868996,0.3108792924205894,1.633810816361631
1778594893.1322336,-2.0000983155188266,0.3077425277190877,1.4562388319295867
1778594893.78343,-2.002671161022102,0.3057038054654548,1.2777620030739658
1778594894.4218373,-2.0011235880940124,0.30744142482747827,1.1046015817038595
1778594895.0732784,-2.001843785256353,0.3040771928483891,0.92961625604132
1778594895.7119186,-2.002073775954358,0.2994920163846006,0.7580914466328806
1778594896.3512573,-2.003586250019903,0.2967985804831214,0.5855989101695431
1778594897.0011992,-2.0049259997437425,0.2964176340788662,0.41518074800522814
